nome,nov./2025,dez./2025,jan./2026,fev./2026,mar./2026,abr./2026,mai./2026,jun./2026,jul./2026,ago./2026,set./2026,out./2026
Salário,"R$ 5.815,91","R$ 5.815,91","R$ 10.824,55","R$ 8.289,67","R$ 7.854,23","R$ 7.854,23","R$ 7.854,23","R$ 7.854,23","R$ 7.854,23","R$ 7.854,23","R$ 7.854,23","R$ 7.854,23"
13°,,"R$ 3.998,74","R$ 9.879,28",,,,,,,,,
Férias,,,"R$ 9.879,28",,,,,,,,,
Restituição IPRF,,,,,,,"R$ 1.721,26",,,,,
Bolsa PIBID,"R$ 2.000,00","R$ 4.000,00",,"R$ 2.000,00","R$ 2.000,00","R$ 2.000,00","R$ 2.000,00","R$ 2.000,00","R$ 2.000,00","R$ 2.000,00","R$ 2.000,00","R$ 2.000,00"
Bolsa Bitgov,"R$ 3.500,00","R$ 3.500,00","R$ 3.500,00",,,,,,,,,
Bolsa gasTrack,,,,,"R$ 1.800,00","R$ 1.800,00","R$ 1.800,00","R$ 1.800,00","R$ 1.800,00","R$ 1.800,00",,
Programação,"R$ 4.166,00","R$ 1.231,00","R$ 151,52",,,,,,,,,
Amanda,,,,,,,,,,,,
Devoluções,,,,,,,,,,,,
UpWork,,,,,,,,,,,,
Alavancagem,,"R$ 300,00",,,"R$ 16.333,56",,,,,,,
Remanescente,,,,,,,,,,,,