categoria,nov./2025,dez./2025,jan./2026,fev./2026,mar./2026,abr./2026,mai./2026
Alimentação,"R$ 1.100,69","R$ 2.172,91","R$ 2.777,20","R$ 1.399,17","R$ 1.989,29","R$ 1.583,44","R$ 0,00"
Lanche,"R$ 641,40","R$ 664,54","R$ 966,50","R$ 339,95","R$ 371,57","R$ 119,63","R$ 0,00"
Lazer,"R$ 582,57","R$ 977,03","R$ 907,96","R$ 0,00","R$ 393,50","R$ 0,00","R$ 0,00"
Combustível,"R$ 344,40","R$ 493,20","R$ 739,80","R$ 65,50","R$ 241,50","R$ 367,00","R$ 0,00"
Álcool,"R$ 842,26","R$ 1.284,63","R$ 835,69","R$ 111,45","R$ 493,83","R$ 115,62","R$ 0,00"
Higiene,"R$ 0,00","R$ 22,24","R$ 12,35","R$ 0,00","R$ 0,00","R$ 74,27","R$ 0,00"
Limpeza,"R$ 6,45","R$ 168,81","R$ 36,75","R$ 10,99","R$ 84,82","R$ 43,44","R$ 0,00"
Farmácia,"R$ 445,24","R$ 449,54","R$ 1.213,27","R$ 151,76","R$ 237,63","R$ 200,54","R$ 0,00"
Serviços,"R$ 675,20","R$ 0,00","R$ 100,13","R$ 159,17","-R$ 226,21","R$ 55,29","R$ 0,00"
Pets,"R$ 157,58","R$ 278,41","R$ 478,36","R$ 0,00","R$ 197,60","R$ 393,86","R$ 0,00"
Saúde,"R$ 573,59","R$ 635,36","R$ 176,04","R$ 0,00","R$ 0,00","R$ 43,77","R$ 0,00"
Casa,"R$ 0,00","R$ 1.085,00","R$ 4.342,33","R$ 577,85","R$ 59,50","R$ 175,90","R$ 0,00"
Trabalho,"R$ 52,90","R$ 0,00","R$ 878,04","R$ 0,00","R$ 3.556,79","R$ 0,00","R$ 0,00"
Educação,"R$ 0,00","R$ 0,00","R$ 89,30","R$ 272,07","R$ 0,00","R$ 0,00","R$ 0,00"
Escritório,"R$ 0,00","R$ 38,00","R$ 122,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Perfumaria,"R$ 154,67","R$ 93,80","R$ 505,65","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Roupa,"R$ 83,46","R$ 200,00","R$ 829,40","R$ 55,00","R$ 192,92","R$ 79,90","R$ 0,00"
Carro,"R$ 150,00","R$ 250,00","R$ 230,00","R$ 0,00","R$ 262,00","R$ 0,00","R$ 0,00"
Estética,"R$ 215,08","R$ 416,55","R$ 570,70","R$ 0,00","R$ 40,00","R$ 0,00","R$ 0,00"
Esporte,"R$ 34,50","R$ 140,00","R$ 53,46","R$ 0,00","R$ 205,79","R$ 54,90","R$ 167,00"
Viagem,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Transporte,"R$ 0,00","R$ 12,00","R$ 750,59","R$ 92,49","R$ 0,00","R$ 0,00","R$ 0,00"
Dívida,"R$ 0,00","R$ 0,00","R$ 735,33","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Outros,"R$ 342,03","R$ 916,60","R$ 1.502,53","R$ 496,20","R$ 332,79","R$ 114,00","R$ 0,00"
Custeio,"R$ 0,00","R$ 0,00","R$ 27,64","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Financiamentos,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"